ts,payload_json,error
2025-12-10T15:22:18.500809,"{""score"": 0.9521256094261932, ""ear"": 0.24679028717996715, ""timestamp"": ""2025-12-10T15:22:18.500809"", ""_error"": ""HTTPConnectionPool(host='127.0.0.1', port=8000): Read timed out. (read timeout=2.0)""}","HTTPConnectionPool(host='127.0.0.1', port=8000): Read timed out. (read timeout=2.0)"
2025-12-10T15:22:18.532240,"{""score"": 0.9521256094261932, ""ear"": 0.24663472244465015, ""timestamp"": ""2025-12-10T15:22:18.532240"", ""_error"": ""HTTPConnectionPool(host='127.0.0.1', port=8000): Read timed out. (read timeout=2.0)""}","HTTPConnectionPool(host='127.0.0.1', port=8000): Read timed out. (read timeout=2.0)"
2025-12-10T15:22:18.562615,"{""score"": 0.9519256094261932, ""ear"": 0.24622066066532305, ""timestamp"": ""2025-12-10T15:22:18.562615"", ""_error"": ""HTTPConnectionPool(host='127.0.0.1', port=8000): Read timed out. (read timeout=2.0)""}","HTTPConnectionPool(host='127.0.0.1', port=8000): Read timed out. (read timeout=2.0)"
2025-12-10T15:22:18.594281,"{""score"": 0.951687514188098, ""ear"": 0.24556813994307325, ""timestamp"": ""2025-12-10T15:22:18.594281"", ""_error"": ""HTTPConnectionPool(host='127.0.0.1', port=8000): Read timed out. (read timeout=2.0)""}","HTTPConnectionPool(host='127.0.0.1', port=8000): Read timed out. (read timeout=2.0)"
2025-12-10T15:22:18.641329,"{""score"": 0.9514503440407773, ""ear"": 0.24457499874033556, ""timestamp"": ""2025-12-10T15:22:18.641329"", ""_error"": ""HTTPConnectionPool(host='127.0.0.1', port=8000): Read timed out. (read timeout=2.0)""}","HTTPConnectionPool(host='127.0.0.1', port=8000): Read timed out. (read timeout=2.0)"
2025-12-10T15:22:18.670672,"{""score"": 0.9514503440407773, ""ear"": 0.24409580459146793, ""timestamp"": ""2025-12-10T15:22:18.670672"", ""_error"": ""HTTPConnectionPool(host='127.0.0.1', port=8000): Read timed out. (read timeout=2.0)""}","HTTPConnectionPool(host='127.0.0.1', port=8000): Read timed out. (read timeout=2.0)"
2025-12-10T15:22:18.701565,"{""score"": 0.9504728509420884, ""ear"": 0.2435961962938607, ""timestamp"": ""2025-12-10T15:22:18.701565"", ""_error"": ""HTTPConnectionPool(host='127.0.0.1', port=8000): Read timed out. (read timeout=2.0)""}","HTTPConnectionPool(host='127.0.0.1', port=8000): Read timed out. (read timeout=2.0)"
2025-12-10T15:22:18.732204,"{""score"": 0.9498182402774958, ""ear"": 0.24287689889859596, ""timestamp"": ""2025-12-10T15:22:18.732204"", ""_error"": ""HTTPConnectionPool(host='127.0.0.1', port=8000): Read timed out. (read timeout=2.0)""}","HTTPConnectionPool(host='127.0.0.1', port=8000): Read timed out. (read timeout=2.0)"
2025-12-10T15:22:18.775736,"{""score"": 0.9498182402774958, ""ear"": 0.24278288282594873, ""timestamp"": ""2025-12-10T15:22:18.775736"", ""_error"": ""HTTPConnectionPool(host='127.0.0.1', port=8000): Read timed out. (read timeout=2.0)""}","HTTPConnectionPool(host='127.0.0.1', port=8000): Read timed out. (read timeout=2.0)"
2025-12-10T15:22:18.809931,"{""score"": 0.9475765231957263, ""ear"": 0.24232719865925614, ""timestamp"": ""2025-12-10T15:22:18.809931"", ""_error"": ""HTTPConnectionPool(host='127.0.0.1', port=8000): Read timed out. (read timeout=2.0)""}","HTTPConnectionPool(host='127.0.0.1', port=8000): Read timed out. (read timeout=2.0)"
2025-12-10T15:22:18.839118,"{""score"": 0.9475765231957263, ""ear"": 0.24198597582151063, ""timestamp"": ""2025-12-10T15:22:18.839118"", ""_error"": ""HTTPConnectionPool(host='127.0.0.1', port=8000): Read timed out. (read timeout=2.0)""}","HTTPConnectionPool(host='127.0.0.1', port=8000): Read timed out. (read timeout=2.0)"
2025-12-10T15:22:18.904581,"{""score"": 0.9333797106590644, ""ear"": 0.24152042712726504, ""timestamp"": ""2025-12-10T15:22:18.904581"", ""_error"": ""HTTPConnectionPool(host='127.0.0.1', port=8000): Read timed out. (read timeout=2.0)""}","HTTPConnectionPool(host='127.0.0.1', port=8000): Read timed out. (read timeout=2.0)"
2025-12-10T15:22:18.870033,"{""score"": 0.9333797106590644, ""ear"": 0.2415675414214286, ""timestamp"": ""2025-12-10T15:22:18.870033"", ""_error"": ""HTTPConnectionPool(host='127.0.0.1', port=8000): Read timed out. (read timeout=2.0)""}","HTTPConnectionPool(host='127.0.0.1', port=8000): Read timed out. (read timeout=2.0)"
2025-12-10T15:22:18.935171,"{""score"": 0.9363967643592153, ""ear"": 0.24127541443167633, ""timestamp"": ""2025-12-10T15:22:18.935171"", ""_error"": ""HTTPConnectionPool(host='127.0.0.1', port=8000): Read timed out. (read timeout=2.0)""}","HTTPConnectionPool(host='127.0.0.1', port=8000): Read timed out. (read timeout=2.0)"
2025-12-10T15:22:18.995194,"{""score"": 0.9354330914145815, ""ear"": 0.24096370126950356, ""timestamp"": ""2025-12-10T15:22:18.995194"", ""_error"": ""HTTPConnectionPool(host='127.0.0.1', port=8000): Read timed out. (read timeout=2.0)""}","HTTPConnectionPool(host='127.0.0.1', port=8000): Read timed out. (read timeout=2.0)"
2025-12-10T15:22:18.963661,"{""score"": 0.9361793730548675, ""ear"": 0.24120871396509228, ""timestamp"": ""2025-12-10T15:22:18.963661"", ""_error"": ""HTTPConnectionPool(host='127.0.0.1', port=8000): Read timed out. (read timeout=2.0)""}","HTTPConnectionPool(host='127.0.0.1', port=8000): Read timed out. (read timeout=2.0)"
2025-12-10T15:22:19.045765,"{""score"": 0.9075654929200186, ""ear"": 0.24054958490896053, ""timestamp"": ""2025-12-10T15:22:19.045765"", ""_error"": ""HTTPConnectionPool(host='127.0.0.1', port=8000): Read timed out. (read timeout=2.0)""}","HTTPConnectionPool(host='127.0.0.1', port=8000): Read timed out. (read timeout=2.0)"
2025-12-10T15:22:19.105935,"{""score"": 0.9056927312554538, ""ear"": 0.24027003585971282, ""timestamp"": ""2025-12-10T15:22:19.105935"", ""_error"": ""HTTPConnectionPool(host='127.0.0.1', port=8000): Read timed out. (read timeout=2.0)""}","HTTPConnectionPool(host='127.0.0.1', port=8000): Read timed out. (read timeout=2.0)"
2025-12-10T15:22:19.074288,"{""score"": 0.907250108304634, ""ear"": 0.24051328721851736, ""timestamp"": ""2025-12-10T15:22:19.074288"", ""_error"": ""HTTPConnectionPool(host='127.0.0.1', port=8000): Read timed out. (read timeout=2.0)""}","HTTPConnectionPool(host='127.0.0.1', port=8000): Read timed out. (read timeout=2.0)"
2025-12-10T15:22:19.134520,"{""score"": 0.9106927312554538, ""ear"": 0.24000954344208922, ""timestamp"": ""2025-12-10T15:22:19.134520"", ""_error"": ""HTTPConnectionPool(host='127.0.0.1', port=8000): Read timed out. (read timeout=2.0)""}","HTTPConnectionPool(host='127.0.0.1', port=8000): Read timed out. (read timeout=2.0)"
2025-12-10T15:22:19.174070,"{""score"": 0.9050552312554538, ""ear"": 0.23951400353922, ""timestamp"": ""2025-12-10T15:22:19.174070"", ""_error"": ""HTTPConnectionPool(host='127.0.0.1', port=8000): Read timed out. (read timeout=2.0)""}","HTTPConnectionPool(host='127.0.0.1', port=8000): Read timed out. (read timeout=2.0)"
2025-12-10T15:22:19.212597,"{""score"": 0.9010686298955884, ""ear"": 0.2390780279993787, ""timestamp"": ""2025-12-10T15:22:19.212597"", ""_error"": ""HTTPConnectionPool(host='127.0.0.1', port=8000): Read timed out. (read timeout=2.0)""}","HTTPConnectionPool(host='127.0.0.1', port=8000): Read timed out. (read timeout=2.0)"
